,param_max_iter,param_alpha,mean_train_score,mean_test_score
0,10.0,1e-10,-0.0030867288951207652,-0.00310177077550035
1,100.0,1e-10,-0.0030867288951207652,-0.00310177077550035
2,1000.0,1e-10,-0.0030867288951207652,-0.00310177077550035
3,10000.0,1e-10,-0.0030867288951207652,-0.00310177077550035
4,100000.0,1e-10,-0.0030867288951207652,-0.00310177077550035
5,1000000.0,1e-10,-0.0030867288951207652,-0.00310177077550035
6,10000000.0,1e-10,-0.0030867288951207652,-0.00310177077550035
7,10.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
8,100.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
9,1000.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
10,10000.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
11,100000.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
12,1000000.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
13,10000000.0,1e-09,-0.0030867288951220793,-0.0031017706954076076
14,10.0,1e-08,-0.003086728895253496,-0.003101769894816221
15,100.0,1e-08,-0.003086728895253496,-0.003101769894816221
16,1000.0,1e-08,-0.003086728895253496,-0.003101769894816221
17,10000.0,1e-08,-0.003086728895253496,-0.003101769894816221
18,100000.0,1e-08,-0.003086728895253496,-0.003101769894816221
19,1000000.0,1e-08,-0.003086728895253496,-0.003101769894816221
20,10000000.0,1e-08,-0.003086728895253496,-0.003101769894816221
21,10.0,1e-07,-0.003086728908395252,-0.0031017619164211974
22,100.0,1e-07,-0.003086728908395252,-0.0031017619164211974
23,1000.0,1e-07,-0.003086728908395252,-0.0031017619164211974
24,10000.0,1e-07,-0.003086728908395252,-0.0031017619164211974
25,100000.0,1e-07,-0.003086728908395252,-0.0031017619164211974
26,1000000.0,1e-07,-0.003086728908395252,-0.0031017619164211974
27,10000000.0,1e-07,-0.003086728908395252,-0.0031017619164211974
28,10.0,1e-06,-0.0030867302225163666,-0.003101684985530787
29,100.0,1e-06,-0.0030867302225163666,-0.003101684985530787
30,1000.0,1e-06,-0.0030867302225163666,-0.003101684985530787
31,10000.0,1e-06,-0.0030867302225163666,-0.003101684985530787
32,100000.0,1e-06,-0.0030867302225163666,-0.003101684985530787
33,1000000.0,1e-06,-0.0030867302225163666,-0.003101684985530787
34,10000000.0,1e-06,-0.0030867302225163666,-0.003101684985530787
35,10.0,1e-05,-0.003086861641483394,-0.0031012037873003376
36,100.0,1e-05,-0.003086861641483394,-0.0031012037873003376
37,1000.0,1e-05,-0.003086861641483394,-0.0031012037873003376
38,10000.0,1e-05,-0.003086861641483394,-0.0031012037873003376
39,100000.0,1e-05,-0.003086861641483394,-0.0031012037873003376
40,1000000.0,1e-05,-0.003086861641483394,-0.0031012037873003376
41,10000000.0,1e-05,-0.003086861641483394,-0.0031012037873003376
42,10.0,0.0001,-0.0030953136653731287,-0.003112049553323864
43,100.0,0.0001,-0.0030953136653731287,-0.003112049553323864
44,1000.0,0.0001,-0.0030953136653731287,-0.003112049553323864
45,10000.0,0.0001,-0.0030953136653731287,-0.003112049553323864
46,100000.0,0.0001,-0.0030953136653731287,-0.003112049553323864
47,1000000.0,0.0001,-0.0030953136653731287,-0.003112049553323864
48,10000000.0,0.0001,-0.0030953136653731287,-0.003112049553323864
49,10.0,0.001,-0.003107840732305345,-0.0031257652694478156
50,100.0,0.001,-0.003107840732305345,-0.0031257652694478156
51,1000.0,0.001,-0.003107840732305345,-0.0031257652694478156
52,10000.0,0.001,-0.003107840732305345,-0.0031257652694478156
53,100000.0,0.001,-0.003107840732305345,-0.0031257652694478156
54,1000000.0,0.001,-0.003107840732305345,-0.0031257652694478156
55,10000000.0,0.001,-0.003107840732305345,-0.0031257652694478156
56,10.0,0.01,-0.0031088917682807376,-0.0031257815970723553
57,100.0,0.01,-0.0031088917682807376,-0.0031257815970723553
58,1000.0,0.01,-0.0031088917682807376,-0.0031257815970723553
59,10000.0,0.01,-0.0031088917682807376,-0.0031257815970723553
60,100000.0,0.01,-0.0031088917682807376,-0.0031257815970723553
61,1000000.0,0.01,-0.0031088917682807376,-0.0031257815970723553
62,10000000.0,0.01,-0.0031088917682807376,-0.0031257815970723553
63,10.0,0.1,-0.0031088917682807376,-0.0031257815970723553
64,100.0,0.1,-0.0031088917682807376,-0.0031257815970723553
65,1000.0,0.1,-0.0031088917682807376,-0.0031257815970723553
66,10000.0,0.1,-0.0031088917682807376,-0.0031257815970723553
67,100000.0,0.1,-0.0031088917682807376,-0.0031257815970723553
68,1000000.0,0.1,-0.0031088917682807376,-0.0031257815970723553
69,10000000.0,0.1,-0.0031088917682807376,-0.0031257815970723553
